Source,Target,Type,Id,Label,timeset,Weight,mmnt-edgetype
T1134,T1047,Undirected,3160,technique-technique,,2,technique<--->technique
T1134.002,T1087.002,Undirected,3161,technique-technique,,2,technique<--->technique
T1134.002,T1087.001,Undirected,3162,technique-technique,,1,technique<--->technique
T1134.002,T1098,Undirected,3163,technique-technique,,1,technique<--->technique
T1134.002,T1583.001,Undirected,3164,technique-technique,,1,technique<--->technique
T1134.002,T1583.004,Undirected,3165,technique-technique,,1,technique<--->technique
T1134.002,T1583.006,Undirected,3166,technique-technique,,2,technique<--->technique
T1134.002,T1557.001,Undirected,3167,technique-technique,,1,technique<--->technique
T1134.002,T1071.003,Undirected,3168,technique-technique,,1,technique<--->technique
T1134.002,T1071.001,Undirected,3169,technique-technique,,2,technique<--->technique
T1134.002,T1010,Undirected,3170,technique-technique,,1,technique<--->technique
T1134.002,T1560,Undirected,3171,technique-technique,,1,technique<--->technique
T1134.002,T1560.003,Undirected,3172,technique-technique,,1,technique<--->technique
T1134.002,T1560.002,Undirected,3173,technique-technique,,1,technique<--->technique
T1134.002,T1560.001,Undirected,3174,technique-technique,,1,technique<--->technique
T1134.002,T1547.001,Undirected,3175,technique-technique,,2,technique<--->technique
T1134.002,T1547.009,Undirected,3176,technique-technique,,1,technique<--->technique
T1134.002,T1547.004,Undirected,3177,technique-technique,,1,technique<--->technique
T1134.002,T1110,Undirected,3178,technique-technique,,2,technique<--->technique
T1134.002,T1110.003,Undirected,3179,technique-technique,,1,technique<--->technique
T1134.002,T1059.007,Undirected,3180,technique-technique,,1,technique<--->technique
T1134.002,T1059.001,Undirected,3181,technique-technique,,2,technique<--->technique
T1134.002,T1059.006,Undirected,3182,technique-technique,,1,technique<--->technique
T1134.002,T1059.005,Undirected,3183,technique-technique,,2,technique<--->technique
T1134.002,T1059.003,Undirected,3184,technique-technique,,2,technique<--->technique
T1134.002,T1584.001,Undirected,3185,technique-technique,,1,technique<--->technique
T1134.002,T1584.004,Undirected,3186,technique-technique,,2,technique<--->technique
T1134.002,T1584.003,Undirected,3187,technique-technique,,1,technique<--->technique
T1134.002,T1584.006,Undirected,3188,technique-technique,,1,technique<--->technique
T1134.002,T1543.003,Undirected,3189,technique-technique,,1,technique<--->technique
T1134.002,T1555.004,Undirected,3190,technique-technique,,1,technique<--->technique
T1134.002,T1485,Undirected,3191,technique-technique,,1,technique<--->technique
T1134.002,T1132.001,Undirected,3192,technique-technique,,1,technique<--->technique
T1134.002,T1001.003,Undirected,3193,technique-technique,,1,technique<--->technique
T1134.002,T1074.001,Undirected,3194,technique-technique,,1,technique<--->technique
T1134.002,T1213,Undirected,3195,technique-technique,,1,technique<--->technique
T1134.002,T1005,Undirected,3196,technique-technique,,2,technique<--->technique
T1134.002,T1025,Undirected,3197,technique-technique,,1,technique<--->technique
T1134.002,T1491.001,Undirected,3198,technique-technique,,1,technique<--->technique
T1134.002,T1140,Undirected,3199,technique-technique,,2,technique<--->technique
T1134.002,T1587.001,Undirected,3200,technique-technique,,2,technique<--->technique
T1134.002,T1561.001,Undirected,3201,technique-technique,,1,technique<--->technique
T1134.002,T1561.002,Undirected,3202,technique-technique,,1,technique<--->technique
T1134.002,T1189,Undirected,3203,technique-technique,,2,technique<--->technique
T1134.002,T1573.001,Undirected,3204,technique-technique,,1,technique<--->technique
T1134.002,T1585.002,Undirected,3205,technique-technique,,1,technique<--->technique
T1134.002,T1585.001,Undirected,3206,technique-technique,,1,technique<--->technique
T1134.002,T1546.013,Undirected,3207,technique-technique,,1,technique<--->technique
T1134.002,T1546.003,Undirected,3208,technique-technique,,1,technique<--->technique
T1134.002,T1048.003,Undirected,3209,technique-technique,,1,technique<--->technique
T1134.002,T1041,Undirected,3210,technique-technique,,1,technique<--->technique
T1134.002,T1567.002,Undirected,3211,technique-technique,,2,technique<--->technique
T1134.002,T1203,Undirected,3212,technique-technique,,1,technique<--->technique
T1134.002,T1068,Undirected,3213,technique-technique,,1,technique<--->technique
T1134.002,T1008,Undirected,3214,technique-technique,,1,technique<--->technique
T1134.002,T1083,Undirected,3215,technique-technique,,2,technique<--->technique
T1134.002,T1589.002,Undirected,3216,technique-technique,,1,technique<--->technique
T1134.002,T1591,Undirected,3217,technique-technique,,1,technique<--->technique
T1134.002,T1591.004,Undirected,3218,technique-technique,,1,technique<--->technique
T1134.002,T1615,Undirected,3219,technique-technique,,1,technique<--->technique
T1134.002,T1564.001,Undirected,3220,technique-technique,,1,technique<--->technique
T1134.002,T1574.002,Undirected,3221,technique-technique,,1,technique<--->technique
T1134.002,T1574.013,Undirected,3222,technique-technique,,1,technique<--->technique
T1134.002,T1562.004,Undirected,3223,technique-technique,,1,technique<--->technique
T1134.002,T1562.001,Undirected,3224,technique-technique,,2,technique<--->technique
T1134.002,T1070,Undirected,3225,technique-technique,,1,technique<--->technique
T1134.002,T1070.003,Undirected,3226,technique-technique,,1,technique<--->technique
T1134.002,T1070.004,Undirected,3227,technique-technique,,1,technique<--->technique
T1134.002,T1070.006,Undirected,3228,technique-technique,,1,technique<--->technique
T1134.002,T1202,Undirected,3229,technique-technique,,1,technique<--->technique
T1134.002,T1105,Undirected,3230,technique-technique,,2,technique<--->technique
T1134.002,T1056.001,Undirected,3231,technique-technique,,1,technique<--->technique
T1134.002,T1534,Undirected,3232,technique-technique,,1,technique<--->technique
T1134.002,T1570,Undirected,3233,technique-technique,,1,technique<--->technique
T1134.002,T1036,Undirected,3234,technique-technique,,1,technique<--->technique
T1134.002,T1036.004,Undirected,3235,technique-technique,,1,technique<--->technique
T1134.002,T1036.005,Undirected,3236,technique-technique,,1,technique<--->technique
T1134.002,T1036.003,Undirected,3237,technique-technique,,1,technique<--->technique
T1134.002,T1112,Undirected,3238,technique-technique,,1,technique<--->technique
T1134.002,T1104,Undirected,3239,technique-technique,,1,technique<--->technique
T1134.002,T1106,Undirected,3240,technique-technique,,2,technique<--->technique
T1134.002,T1046,Undirected,3241,technique-technique,,1,technique<--->technique
T1134.002,T1571,Undirected,3242,technique-technique,,1,technique<--->technique
T1134.002,T1027,Undirected,3243,technique-technique,,2,technique<--->technique
T1134.002,T1027.005,Undirected,3244,technique-technique,,1,technique<--->technique
T1134.002,T1027.002,Undirected,3245,technique-technique,,1,technique<--->technique
T1134.002,T1588.003,Undirected,3246,technique-technique,,1,technique<--->technique
T1134.002,T1588.004,Undirected,3247,technique-technique,,1,technique<--->technique
T1134.002,T1588.001,Undirected,3248,technique-technique,,1,technique<--->technique
T1134.002,T1588.002,Undirected,3249,technique-technique,,2,technique<--->technique
T1134.002,T1201,Undirected,3250,technique-technique,,1,technique<--->technique
T1134.002,T1120,Undirected,3251,technique-technique,,1,technique<--->technique
T1134.002,T1069.002,Undirected,3252,technique-technique,,1,technique<--->technique
T1134.002,T1069.001,Undirected,3253,technique-technique,,1,technique<--->technique
T1134.002,T1566.001,Undirected,3254,technique-technique,,1,technique<--->technique
T1134.002,T1566.002,Undirected,3255,technique-technique,,2,technique<--->technique
T1134.002,T1566.003,Undirected,3256,technique-technique,,1,technique<--->technique
T1134.002,T1542.003,Undirected,3257,technique-technique,,1,technique<--->technique
T1134.002,T1057,Undirected,3258,technique-technique,,2,technique<--->technique
T1134.002,T1055,Undirected,3259,technique-technique,,1,technique<--->technique
T1134.002,T1055.001,Undirected,3260,technique-technique,,2,technique<--->technique
T1134.002,T1090,Undirected,3261,technique-technique,,1,technique<--->technique
T1134.002,T1090.002,Undirected,3262,technique-technique,,1,technique<--->technique
T1134.002,T1090.001,Undirected,3263,technique-technique,,2,technique<--->technique
T1134.002,T1012,Undirected,3264,technique-technique,,2,technique<--->technique
T1134.002,T1620,Undirected,3265,technique-technique,,1,technique<--->technique
T1134.002,T1021.001,Undirected,3266,technique-technique,,1,technique<--->technique
T1134.002,T1021.002,Undirected,3267,technique-technique,,2,technique<--->technique
T1134.002,T1021.004,Undirected,3268,technique-technique,,1,technique<--->technique
T1134.002,T1018,Undirected,3269,technique-technique,,1,technique<--->technique
T1134.002,T1053.005,Undirected,3270,technique-technique,,1,technique<--->technique
T1134.002,T1593.001,Undirected,3271,technique-technique,,1,technique<--->technique
T1134.002,T1489,Undirected,3272,technique-technique,,1,technique<--->technique
T1134.002,T1518.001,Undirected,3273,technique-technique,,1,technique<--->technique
T1134.002,T1608.001,Undirected,3274,technique-technique,,1,technique<--->technique
T1134.002,T1608.002,Undirected,3275,technique-technique,,1,technique<--->technique
T1134.002,T1553.002,Undirected,3276,technique-technique,,1,technique<--->technique
T1134.002,T1553.006,Undirected,3277,technique-technique,,1,technique<--->technique
T1134.002,T1218,Undirected,3278,technique-technique,,1,technique<--->technique
T1134.002,T1218.005,Undirected,3279,technique-technique,,1,technique<--->technique
T1134.002,T1218.010,Undirected,3280,technique-technique,,1,technique<--->technique
T1134.002,T1218.011,Undirected,3281,technique-technique,,1,technique<--->technique
T1134.002,T1082,Undirected,3282,technique-technique,,2,technique<--->technique
T1134.002,T1614.001,Undirected,3283,technique-technique,,1,technique<--->technique
T1134.002,T1016,Undirected,3284,technique-technique,,2,technique<--->technique
T1134.002,T1016.001,Undirected,3285,technique-technique,,1,technique<--->technique
T1134.002,T1049,Undirected,3286,technique-technique,,2,technique<--->technique
T1134.002,T1033,Undirected,3287,technique-technique,,1,technique<--->technique
T1134.002,T1007,Undirected,3288,technique-technique,,1,technique<--->technique
T1134.002,T1529,Undirected,3289,technique-technique,,1,technique<--->technique
T1134.002,T1124,Undirected,3290,technique-technique,,2,technique<--->technique
T1134.002,T1221,Undirected,3291,technique-technique,,1,technique<--->technique
T1134.002,T1204.002,Undirected,3292,technique-technique,,1,technique<--->technique
T1134.002,T1204.001,Undirected,3293,technique-technique,,2,technique<--->technique
T1134.002,T1078,Undirected,3294,technique-technique,,1,technique<--->technique
T1134.002,T1078.003,Undirected,3295,technique-technique,,1,technique<--->technique
T1134.002,T1497.001,Undirected,3296,technique-technique,,1,technique<--->technique
T1134.002,T1102,Undirected,3297,technique-technique,,1,technique<--->technique
T1134.002,T1102.002,Undirected,3298,technique-technique,,2,technique<--->technique
T1134.002,T1047,Undirected,3299,technique-technique,,1,technique<--->technique
T1134.002,T1220,Undirected,3300,technique-technique,,1,technique<--->technique
T1134.001,T1098.002,Undirected,3301,technique-technique,,1,technique<--->technique
T1134.001,T1583.001,Undirected,3302,technique-technique,,1,technique<--->technique
T1134.001,T1583.006,Undirected,3303,technique-technique,,1,technique<--->technique
T1134.001,T1595.002,Undirected,3304,technique-technique,,1,technique<--->technique
T1134.001,T1071.003,Undirected,3305,technique-technique,,1,technique<--->technique
T1134.001,T1071.001,Undirected,3306,technique-technique,,2,technique<--->technique
T1134.001,T1560,Undirected,3307,technique-technique,,1,technique<--->technique
T1134.001,T1560.001,Undirected,3308,technique-technique,,2,technique<--->technique
T1134.001,T1119,Undirected,3309,technique-technique,,1,technique<--->technique
T1134.001,T1547.001,Undirected,3310,technique-technique,,1,technique<--->technique
T1134.001,T1037.001,Undirected,3311,technique-technique,,1,technique<--->technique
T1134.001,T1110,Undirected,3312,technique-technique,,1,technique<--->technique
